[I 240516 11:16:30 stock:51] on open
[I 240516 12:19:18 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9203318, 'exchange_timestamp': 1715842159000, 'last_traded_price': 4777580, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:19 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9203654, 'exchange_timestamp': 1715842159000, 'last_traded_price': 4776920, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:19 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9204001, 'exchange_timestamp': 1715842160000, 'last_traded_price': 4776690, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:20 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9204377, 'exchange_timestamp': 1715842160000, 'last_traded_price': 4776515, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:20 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9204753, 'exchange_timestamp': 1715842161000, 'last_traded_price': 4776385, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:21 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9205085, 'exchange_timestamp': 1715842161000, 'last_traded_price': 4776255, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:22 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9205424, 'exchange_timestamp': 1715842162000, 'last_traded_price': 4776175, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:22 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9205744, 'exchange_timestamp': 1715842162000, 'last_traded_price': 4776100, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:23 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9206111, 'exchange_timestamp': 1715842163000, 'last_traded_price': 4776345, 'subscription_mode_val': 'LTP'}
[I 240516 12:19:23 stock:47] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 9206436, 'exchange_timestamp': 1715842163000, 'last_traded_price': 4776490, 'subscription_mode_val': 'LTP'}
